code,name,latitude,longitude,,
5006,Collège Édouard-Montpetit,45.53722604,-73.49506706,,
6236,Laurier / de Bordeaux,45.5372588,-73.57917041,,
6127,Henri-Julien / de Castelnau,45.537877,-73.618323,,
6134,Gascon / Rachel,45.537964,-73.562643,,
7029,Cartier / Masson,45.53805998,-73.58337676,,
6255,Boyer / St-Zotique,45.53848,-73.60556,,
6265,Parthenais / St-Joseph,45.53854352,-73.57613347,,
6149,Chapleau / du Mont-Royal,45.53867,-73.56936,,
6260,Dandurand / Papineau,45.53869977,-73.58622193,,
6322,St-Dominique / Gounod,45.53873795,-73.62802148,,
6103,Lesperance / de Rouen,45.538799,-73.552496,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,
6253,Berri / Jean-Talon,45.53903178,-73.61431818,,
7035,Fullum / Gilford,45.53922374,-73.5738368,,
6002,Ste-Catherine / Dezery,45.53929156,-73.54103073,,
6328,Henri-Julien / Villeray,45.53948747,-73.6235556,,
6323,Guizot / St-Laurent,45.5396316,-73.63444805,,
5004,St-Charles / Charlotte,45.539824,-73.508752,,
6327,Faillon / St-Denis,45.53982886,-73.62023503,,
6162,Fullum / St-Joseph,45.5398326,-73.57555881,,
6268,Chambord / Beaubien,45.53993218,-73.5993433,,
7064,Clark / de Liège,45.53998385,-73.63813475,,
6254,Boyer / Belanger,45.54006,-73.60897,,
7061,Lajeunesse / de Castelnau,45.54039621,-73.61681789,,
6330,de Gaspe / Jarry,45.54078005,-73.6304006,,
6259,Dandurand / de Lorimier,45.540881,-73.584157,,
6393,Dezery / Ontario,45.54111009,-73.54754984,,
6421,Cartier / Rosemont,45.54124722,-73.59104455,,
7063,Henri-Julien / Jarry,45.54140623,-73.63007069,,
6386,Metro Prefontaine (Moreau / Hochelaga),45.54143508,-73.55431437,,
6389,Boyer / Jean-Talon,45.541484,-73.612441,,
6022,Angus (Molson / William-Tremblay),45.5417292,-73.56549382,,
6329,Gounod / St-Denis,45.54181644,-73.62611175,,
6904,Fabre / Beaubien,45.542055,-73.597793,,
6734,Lajeunesse / Villeray (place Tapeo),45.54211889,-73.6225471,,
6332,de Gaspe / de Liège,45.54248521,-73.63634169,,
6264,Chabot / de Bellechasse,45.54256975,-73.59214425,,
7018,Joliette / Ste-Catherine,45.54286797,-73.53822447,,
6336,Faillon / St-Hubert,45.54297176,-73.61793905,,
6276,Chambord / Belanger,45.54299336,-73.60637203,,
6331,Guizot / St-Denis,45.54334747,-73.63235325,,
6270,Fabre / St-Zotique,45.54345173,-73.60101029,,
7065,de Lanaudière / Belanger,45.54365085,-73.60565051,,
7020,St-Germain / Hochelaga,45.54369875,-73.55367333,,
7039,du Mont-Royal / Augustin-Frigon,45.54376315,-73.56772006,,
7002,Tolhurst / Fleury,45.54410128,-73.66738558,,
6391,Aylwin / Ontario,45.54431115,-73.54554892,,
6905,Parc Rosemont (Dandurand / d'Iberville),45.544377,-73.581018,,
